felling_period;felling_toponymy_source;felling_toponymy_MTN25;latitude;longitude;province;municipality;landownership;landowner_name;tree_species;tree_quantity
1749-1750;Dehesa de Paternina;Dehesa de Paternina;37.3331629207;-6.424401461;Huelva;Chucena;comunal;Rociana del Condado;holm oak;7.0
1749-1750;Gradillos;Los Pradillos;37.34847845;-6.413246191;Huelva;Chucena;comunal;Chucena;holm oak;2.0
1749-1750;Dehesa de Garruchena;Dehesa de Garruchena;37.34288999;-6.467856282;Huelva;Hinojos;noble estate;Marqués de Astorga;holm oak;5.0
1749-1750;Dehesa de Torre de Quadros;Dehesa de Torrecuadros;37.31127133;-6.364159217;Huelva;Hinojos;noble estate;Marquesa de La Motilla;holm oak;19.0
1749-1750;Dehesa de Luzena;Camino de la Dehesa;37.2967008702;-6.731910351;Huelva;Lucena del Puerto;comunal;Lucena del Puerto;holm oak;10.0
1749-1750;El Bosque;El Bosque;37.3083078855;-6.712469999;Huelva;Lucena del Puerto;noble estate;Duque de Medina Sidonia;holm oak;28.0
1749-1750;Dehesa de Pormedias;undefined;;;Huelva;Lucena del Puerto;comunal, ecclesiastic;Lucena del Puerto, Convento de la Luz de Lucena del Puerto;holm oak;29.0
1749-1750;Alcornocal;Alcornocal;37.3392518123;-6.627816962;Huelva;Niebla;comunal;Niebla;holm oak;341.0
1749-1750;Alcornocal;Alcornocal;37.3392518123;-6.627816962;Huelva;Niebla;comunal;Niebla;cork oak;66.0
1749-1750;Ruissa;La Ruiza ;37.3431664649;-6.750567217;Huelva;Niebla;private;Francisco Cepeda;olive;43.0
1749-1750;Vera de Pedro Cano;Vera de Pedro Cano;37.343100328;-6.620271196;Huelva;Niebla;comunal;Rociana del Condado;holm oak;13.0
1749-1750;Dehesa de Boyar de  Rusiana;Las Vaquerizas ;37.2609626924;-6.634794511;Huelva;Rociana del Condado;comunal;Rociana del Condado;holm oak;18.0
1749-1750;El Rosal;El Rosalejo;37.2749812157;-6.583980158;Huelva;Rociana del Condado;comunal;Rociana del Condado;holm oak;18.0
1749-1750;Dehesa de Trigueros;Dehesa de Arriba;37.41403878;-6.829214404;Huelva;Trigueros;comunal;Trigueros;holm oak;33.0
1749-1750;Labradillo;Los Labradillos;37.40385653;-6.851703841;Huelva;Trigueros;fallow land;Trigueros;holm oak;61.0
1749-1750;Dehesa de Purchena;Dehesa de Purchena;37.35584015;-6.438208807;Huelva;Villalba del Alcor;noble estate;Duque de Medinacelli;holm oak;46.0
1749-1750;Boyal de Villa Rassa;Dehesa Boyal;37.4422615636;-6.653340209;Huelva;Villarrasa;comunal;Rociana del Condado;holm oak;16.0
1749-1750;Dehesa del Río;Dehesa de Santa María del Río;37.3961144228;-6.656436627;Huelva;Villarrasa;private;José de Monsalve;holm oak;40.0
1749-1750;Armuña;La Almuñia;37.79039273;-6.491343082;Huelva;La Granada del Río Tinto;private;Francisco Pedrezo;holm oak;130.0
1749-1750;Los Millares;Los Millares;37.51088547;-7.0555062836;Huelva;Gibraleón;noble estate;Duque de Béjar;holm oak;30.0
1749-1750;Candón;Cándon;37.31795516;-6.788376931;Huelva;San Juan del Puerto;comunal;San Juan del Puerto;holm oak;13.0
1749-1750;Toconal;El Toconal;37.3252586;-6.758507851;Huelva;San Juan del Puerto;comunal;San Juan del Puerto;holm oak;6.0
1749-1750;Dehesa de la Iguera;undefined;;;Sevilla;Higuera de la Sierra;comunal;Higuera de la Sierra;holm oak;64.0
1749-1750;Santa Olaia;Santa Olalla del Cala;;;Sevilla;Santa Olalla del Cala;private;undefined;holm oak;201.0
1749-1750;Espossas;Dehesa de las Esposas;37.78402303;-6.472098452;Huelva;Zufre;comunal;Zufre;holm oak;859.0
1749-1750;Jaramilla;Dehesa del Jarramilla;37.76339043;-6.386596132;Huelva;Zufre;private;Estebán García;holm oak;109.0
1749-1750;Gelo;Dehesa de Gelo;37.32097273;-6.207600172;Sevilla;Benacazón;noble estate;Marqués de Gelo;holm oak;14.0
1749-1750;Dehesa de Collera;Collera;37.34105568;-6.308886794;Sevilla;Huévar;private;Ignacio de Castañeda;holm oak;2.0
1749-1750;Dehesa de Lerena;Dehesa de Lerena;37.34130743;-6.341364825;Sevilla;Huévar;noble estate;Marqués de la Fuente;holm oak;7.0
1749-1750;Dehesa de Espechilla;Dehesa de Espechilla;37.32809507;-6.333664706;Sevilla;Huévar;ecclesiastic;Catedral de Sevilla;holm oak;1.0
1749-1750;Dehesa de Robaina;Cerro de Robaina;37.33060686;-6.287491349;Sevilla;Pilas;noble estate;Orden de Malta;holm oak;2.0
1749-1750;Crespín;Crespín;37.48862159;-6.2129359643;Sevilla;Sanlúcar la Mayor;noble estate;Duque de Alba;holm oak;46.0
1749-1750;Los Molares;Los Molares;37.1606158678;-5.708398002;Sevilla;Los Molares;private;Elvira Varela;pine;1.0
1749-1750;Arroyo del Moro;Arroyo del Moro;37.1828859343;-5.801092788;Sevilla;Utrera;ecclesiastic;Convento de La Concepción;pine;1.0
1749-1750;Arroyo del Puerco;Arroyo del Puerco;37.2144999873;-5.860097009;Sevilla;Utrera;private;Gerónimo Jiménez;pine;1.0
1749-1750;Arroyo del Puerco;Arroyo del Puerco;37.2144999873;-5.860097009;Sevilla;Utrera;ecclesiastic;Compañía de Jesús;pine;1.0
1749-1750;Boca Dulce;undefined;;;Sevilla;Utrera;private;Lorenzo de Lana;pine;1.0
1749-1750;Cortijera;Cortijera;;;Sevilla;Utrera;private;Gerónimo Franco;pine;2.0
1749-1750;La Montañesa;Cortijo de la Montañesa;37.23842749;-5.842683511;Sevilla;Utrera;assistance institution;Misericordia;pine;8.0
1749-1750;Vera Cruz;Cortijo de Veracruz;37.2318656459;-5.748497648;Sevilla;Utrera;private;Pedro Briones;pine;1.0
1749-1750;El Molino;El Molino;;;Sevilla;Utrera;noble estate;Marqués de Valhermoso;pine;30
1749-1750;La Lombarda;La Lombarda;37.1731227153;-5.74637356;Sevilla;Utrera;private;Maiorazgo de Cabrera;pine;1.0
